1|0
2|1
h|2
h|3
h|4
1|5
1|6
u|7
33|8
33|9
32|10
5|11
5|12
5|13
k|14
k|15
k|16
s|17
saba|18
zuha|19
1|20
10|21
10|22
10|23
10|24
10|25
10|26
saba|27
i|28
e|29
1|30
3|31
10|32
100|33
1|34
2|35
3|36
5|37
5|38
5|39
30|40
9|41
6|42
8|43
8|44
12|45
1|46
2|47
3|48
1|49
2|50
3|51
h|52
saba|53
hfsa|54
saba|55
1|56
2|57
3|58
1|59
2|60
3|61
2|62
10|63
Array|64
Array|65
Array|66
Array|67
Array|68
1|69
2|70
3|71
1|72
1|73
1|74
1|75
3|76
1|77
1|78
1|79
1|80
1|81
100|82
1|83
1|84
2|85
3|86
1|87
2|88
3|89
4|90
18|91
10|92
10|93
4|94
1|95
2|96
3|97
4|98
3|99
2|100
1|101
5|102
